anho;mes;idprovincia;provincia;e;evap;glo;hr;inso;n_cub;n_des;n_fog;n_gra;n_llu;n_nie;n_nub;np_001;np_010;np_100;np_300;nt_00;nt_30;n_tor;nv_0050;nv_0100;nv_1000;nw_55;nw_91;p_max;p_mes;p_sol;q_mar;q_max;q_med;q_min;ta_max;ta_min;ti_max;tm_max;tm_mes;tm_min;ts_10;ts_20;ts_50;ts_min;w_med;w_rec
2000;1;1;ARABA/ALAVA;65;303;-9999;83;3.3;10;2;4;0;8;0;19;6;3;1;0;23;0;0;0;0;3;0;0;15.6;20.5;35;1027.9;974.3;965.6;949.5;16;-7;3.2;7.5;3.1;-1.4;-9999;-9999;-9999;2.6;6;173
2000;2;1;ARABA/ALAVA;86;331;-9999;78;4.1;9;1;4;0;16;0;19;11;6;1;0;11;0;1;0;0;3;0;0;10.1;32.7;39;1029.1;976.5;967.8;961.4;19.6;-3.6;7.8;13.4;7.7;1.9;-9999;-9999;-9999;8.2;6;148
2000;3;1;ARABA/ALAVA;79;574;-9999;74;5.4;11;4;7;0;9;2;16;9;8;1;0;10;0;0;0;1;4;0;0;10.7;43.8;45;1023;972.1;962.1;950.1;21.8;-2;5.5;14.1;8;1.8;-9999;-9999;-9999;8.8;9;188
2000;4;1;ARABA/ALAVA;93;868;39659;72;4.4;19;0;2;0;25;0;11;22;15;2;0;2;0;0;0;0;1;5;0;18.1;88.1;32;1008.1;962.1;948.6;926.6;22.6;-1.4;7.8;14.8;10;5.2;-9999;-9999;-9999;11.4;13;275
2000;5;1;ARABA/ALAVA;133;827;54636;75;6;17;0;8;0;19;0;14;14;8;1;0;0;0;8;0;0;5;2;0;21.4;56.8;41;1015.8;964.1;957;949.3;28.6;2.7;14.5;21.3;14.4;7.5;-9999;-9999;-9999;14.2;7;144
2000;6;1;ARABA/ALAVA;149;1295;64257;69;8.2;10;6;8;0;10;0;14;7;6;1;0;0;8;4;0;0;2;2;0;10.6;22.3;54;1019.6;970.2;961.3;949;32.7;2.3;13.2;24.4;17;9.6;-9999;-9999;-9999;18.7;10;206
2000;7;1;ARABA/ALAVA;162;1256;67832;72;8.8;5;4;4;0;11;0;22;9;6;1;0;0;4;1;0;0;1;-9999;-9999;17;45;59;1015.3;965.4;957.3;949.3;35.2;7.2;17.6;25.8;18.3;10.7;-9999;-9999;-9999;16.3;10;-9999
2000;8;1;ARABA/ALAVA;174;1083;54901;76;7.1;7;3;7;0;8;0;21;8;2;1;1;0;8;3;0;0;5;0;0;42;45.6;51;1017.5;967.7;959.5;951.3;35.6;6.6;18.3;26.2;18.9;11.7;-9999;-9999;-9999;17.2;9;180
2000;9;1;ARABA/ALAVA;143;939;46053;71;6.9;8;3;10;0;8;0;19;8;6;0;0;0;5;4;0;0;4;0;0;6.6;24.7;55;1015.4;965.4;957.1;942.3;32.7;3.6;15.8;24.6;17;9.4;-9999;-9999;-9999;13.8;8;153
2000;10;1;ARABA/ALAVA;116;592;28193;80;4.3;13;0;8;0;17;0;18;16;10;5;0;1;0;0;0;0;3;3;0;25.1;113;39;1018;967.9;958.3;937.7;23.4;-0.6;12;17.3;12;6.7;-9999;-9999;-9999;12.8;7;165
2000;11;1;ARABA/ALAVA;89;513;17403;81;3.3;13;1;2;0;23;0;16;23;16;2;0;6;0;1;0;0;0;2;0;23.5;108.9;33;1013.1;964.1;952.9;933.5;16.8;-3;7;12.2;8;3.7;-9999;-9999;-9999;10.2;9;216
2000;12;1;ARABA/ALAVA;86;702;13916;77;2.5;14;0;0;1;21;0;17;17;11;1;0;4;0;0;0;0;0;7;1;13.7;50.2;28;1012.6;969.3;952.4;930.9;20.3;-2.1;8.4;11.8;8.4;5;-9999;-9999;-9999;11.2;13;286
2001;1;1;ARABA/ALAVA;83;523;14527;81;2.4;19;0;0;0;26;0;12;24;17;4;1;3;0;0;0;0;0;10;1;31.8;131.3;25;1014.5;966.9;953.9;936.2;18.7;-1;5.6;10.2;7.1;3.9;-9999;-9999;-9999;9.4;12;262
