"anho","mes","idprovincia","nombre","numero_de_incendios","superficie_total_quemada","sup_total_arbolada","sup_total_desarbolada","naturales_casos","naturales_total_arbolada","naturales_total_noarboalda","antropicos_casos","sup_antropicos_total_arbolada","sup_antropicos_total_noarbolada","e","hr","n_fog","n_gra","n_llu","n_nie","np_001","np_010","np_100","np_300","nt_00","nt_30","n_tor","nw_55","nw_91","p_max","p_mes","q_mar","q_max","q_med","q_min","ta_max","ta_min","ti_max","tm_max","tm_mes","tm_min","ts_min","w_med","tasa_de_paro"
2002,1,1,"ALAVA",5,8.67,0,8.67,0,0,0,5,0,8.67,80,79,30,0,46.6666666666667,0,40,23.3333333333333,6.66666666666667,0,33.3333333333333,0,0,6.66666666666667,0,10.9,35.4,102.68,97.3,96.54,94.61,16.4,-3,6,10.8,6.4,1.9,6.8,9,7.96398891966759
2002,1,2,"ALBACETE",2,2.53,0,2.53,0,0,0,2,0,2.53,76.5,76.5,26.6666666666667,0,28.3333333333333,0,26.6666666666667,13.3333333333333,0,0,41.6666666666667,0,0,6.66666666666667,0,6.65,15.35,102.865,95.35,94.665,93.435,19.95,-2.4,7.5,11.9,6.7,1.5,6.45,9,6.57627118644067
2002,1,3,"ALICANTE",0,0,0,0,0,0,0,0,0,0,98.5,69.5,8.33333333333333,0,28.3333333333333,0,15.5666666666667,5.56666666666667,0,0,0,0,0,10,0,2.3,5.33,102.71,102.855,102.025,100.785,21.45,3.8,13.65,16.7,12,7.25,11.9,9,9.99851212617171
2002,1,4,"ALMERIA",0,0,0,0,0,0,0,0,0,0,104,66,3.33333333333333,0,16.6666666666667,0,11.3333333333333,4.66666666666667,0,0,0,0,0,9.33333333333333,0,2,3.68,102.6,103.16,102.35,101.37,20.6,5.08,12.3,16.54,12.42,8.26,12.18,9.2,10.9448818897638
2002,1,5,"AVILA",6,28.95,1,27.95,0,0,0,6,1,27.95,68,77,23.3333333333333,0,43.3333333333333,0,30,23.3333333333333,3.33333333333333,0,36.6666666666667,0,0,6.66666666666667,0,11.3,27.2,102.69,90.22,89.57,88.15,18.2,-3.4,4,9,5.1,1.2,6.6,9,9.75609756097561
2002,1,6,"BADAJOZ",0,0,0,0,0,0,0,0,0,0,105,83,50,0,33.3333333333333,0,30,23.3333333333333,8.33333333333333,1.66666666666667,3.33333333333333,0,0,3.33333333333333,0,25.15,65.5,102.78,101.18,100.41,99.1,17.45,-0.75,9.05,14.2,9.45,4.65,10.95,6.33,20.7924528301887
2002,1,7,"ILLES BALEARS",4,3.02,0,3.02,0,0,0,4,0,3.02,94.86,77.86,15,0,34.1666666666667,0,35.2333333333333,25.2333333333333,6.2,2.36666666666667,10.3666666666667,0,0.833333333333333,11.6666666666667,0.566666666666667,35.63,73.06,102.7,103.125,102.355,100.873,18.47,2.43,10.8,14.17,10.14,6.09,10.99,10.25,8.95702559150168
2002,1,8,"BARCELONA",7,1.77,1.42,0.35,0,0,0,7,1.42,0.35,79.5,70,6.66666666666667,0,28.3333333333333,0,24.4333333333333,16.6666666666667,2.23333333333333,0,0,0,0,8.9,0,15.47,32.27,102.66,101.06,100.155,98.44,18.6,3.57,9.37,12.63,9.57,6.5,10.5,12,11.1198705447907
2002,1,9,"BURGOS",17,131.4,4.1,127.3,0,0,0,17,4.1,127.3,70,79,30,3.33333333333333,46.6666666666667,0,35.5666666666667,22.2333333333333,1.1,0,36.6666666666667,0,0,7.76666666666667,1.1,7.3,24.87,102.74,94.66,93.88,92.005,16.27,-4.57,2.73,9.33,5.27,1.17,7.73,8.67,5.73613766730401
2002,1,10,"CACERES",2,7,1,6,0,0,0,2,1,6,93,79,20,0,40,0,34,18,10,1.33333333333333,8,0,0,9.33333333333333,0,25.56,72.5,102.74,98.71,98.03,96.74,17.36,-0.52,8.4,12.62,8.58,4.48,10.02,8.4,18.2096873083998
2002,1,11,"CADIZ",2,0.3,0,0.3,0,0,0,2,0,0.3,118.67,76.33,3.33333333333333,0,24.4333333333333,0,18.3333333333333,14.4333333333333,3.33333333333333,1.66666666666667,0,0,1.1,16,0.666666666666667,19.73,46.35,102.657,103.177,102.413,101.323,20.62,4.1,12.53,16.2,12.45,8.62,13.13,12.6,27.8467691012418
2002,1,12,"CASTELLON",0,0,0,0,0,0,0,0,0,0,102,75,0,0,36.6666666666667,0,32.2333333333333,18.9,5.56666666666667,0,10,0,0,16.6666666666667,0,17.07,42.43,102.62,102.93,102.08,100.52,20.43,1.3,7.03,13.13,8.93,4.8,10.47,9,5.57222460351479
2002,1,13,"CIUDAD REAL",0,0,0,0,0,0,0,0,0,0,84,83,40,0,30,0,30,23.3333333333333,0,0,33.3333333333333,0,0,3.33333333333333,0,9.4,28.4,102.87,96.06,95.35,94.09,17.8,-3,3.2,11.5,6.8,2.1,7.1,6,11.36
2002,1,14,"CORDOBA",0,0,0,0,0,0,0,0,0,0,102,78,16.6666666666667,0,20,0,23.3333333333333,16.6666666666667,6.66666666666667,0,0,0,0,1.66666666666667,0,18.6,43.05,102.74,102.36,101.62,100.54,20.5,1.1,10.7,14.1,9.35,4.5,10.2,7.5,19.0822053482998
2002,1,15,"A CORU<U+00C3>",8,1.94,0.01,1.93,0,0,0,8,0.01,1.93,102,77.88,33.3333333333333,0.833333333333333,58.3333333333333,0,53.7666666666667,43.3333333333333,15,0.833333333333333,0.733333333333333,0,5,30.8333333333333,5,30.71,124.34,102.22,101.34,100.491,98.421,17.13,3.81,10.08,13.24,10.48,7.63,12.39,15.75,14.5231664242676
2002,1,16,"CUENCA",4,1.53,0,1.53,0,0,0,4,0,1.53,69,75,23.3333333333333,0,33.3333333333333,0,33.3333333333333,23.3333333333333,0,0,46.6666666666667,0,0,0,0,6.5,20.1,102.89,92.33,91.67,90.43,21.2,-3,6.3,10.5,5.7,0.9,4.9,5,7.4424898511502
2002,1,17,"GIRONA",7,10.47,9.34,1.13,0,0,0,7,9.34,1.13,83,77,20,0,36.6666666666667,0,30,16.6666666666667,3.33333333333333,0,50,0,0,6.66666666666667,0,19.6,32,102.64,102.07,101.05,99.35,20.8,-4,8,13.8,7.4,1,6.6,4,10.2384291725105
2002,1,18,"GRANADA",3,1.38,1.27,0.11,0,0,0,3,1.27,0.11,77.5,72,20,0,23.3333333333333,0,20.6666666666667,13.3333333333333,0,0,30.5666666666667,0,0,4.43333333333333,0,7.2,15.14,102.78,95.93,95.265,94.47,20.48,-0.67,8.85,14.5,8.62,2.7,8.47,7.5,20.9126624357812
2002,1,19,"GUADALAJARA",0,0,0,0,0,0,0,0,0,0,71.5,78.5,16.6666666666667,0,33.3333333333333,1.66666666666667,33.3333333333333,25,3.33333333333333,0,68.3333333333333,0,0,0,0,10.9,34.55,102.755,93.425,92.715,91.28,18.7,-5.6,5.6,10.45,4.8,-0.8,5.2,4,9.62566844919786
2002,1,20,"GUIPUZCOA",29,540.28,51.65,488.63,0,0,0,29,51.65,488.63,87.5,68,6.66666666666667,0,45,0,41.6666666666667,23.3333333333333,3.33333333333333,0,0,0,0,35.8333333333333,4.16666666666667,14.15,33.65,102.495,101.76,100.885,98.795,20.68,1.63,9.85,14.83,10.88,6.88,14.2,13,7.14508580343213
2002,1,21,"HUELVA",0,0,0,0,0,0,0,0,0,0,117,80,3.33333333333333,0,23.3333333333333,0,25,18.3333333333333,3.33333333333333,0,0,0,0,1.66666666666667,0,18.2,38.35,102.67,103.32,102.43,101.43,21.15,3,10,17.25,12.25,7.2,13,8,17.2813487881981
2002,1,22,"HUESCA",1,0.25,0,0.25,0,0,0,1,0,0.25,76,82,16.6666666666667,0,43.3333333333333,0,50,16.6666666666667,0,0,16.6666666666667,0,3.33333333333333,20,0,5.6,22.3,102.64,96.79,95.97,94.45,16,-1.8,2.7,9.7,6,2.3,5.8,13,5.26918671248568
2002,1,23,"JAEN",1,1.5,0.5,1,0,0,0,1,0.5,1,110,66.11,0,0,20,0,26.6666666666667,16.6666666666667,1.66666666666667,0,0,0,0,1.66666666666667,0,10.35,29.35,101.633,96.62,95.96,94.93,20.35,1.35,8.55,13.1,9.3,5.45,10.15,5,12.8295946477765
2002,1,24,"LEON",3,26,0,26,0,0,0,3,0,26,73,82,28.3333333333333,0,45,0,40,30.8333333333333,7.5,0,40,0,0,7.76666666666667,0,15.78,58.35,102.767,93.74,92.983,91.187,13.97,-4.17,2.73,9,4.97,0.97,6,7.5,11.6557734204793
2002,1,25,"LLEIDA",8,336.15,27.25,308.9,0,0,0,8,27.25,308.9,77.5,86,50,0,33.3333333333333,0,21.1,13.3333333333333,0,0,45.5666666666667,0,0,0.833333333333333,0,4.67,13.97,102.88,101.33,100.42,98.74,16.57,-5.53,2.73,9.97,5,0,5.13,2.75,6.65456745311555
2002,1,26,"LA RIOJA",6,2.4,0,2.4,0,0,0,6,0,2.4,81,81,30,0,33.3333333333333,0,26.6666666666667,13.3333333333333,0,0,16.6666666666667,0,0,13.3333333333333,0,9.9,22.3,102.79,99.31,98.38,96.49,18.8,-2,3,10.9,6.9,3,6.6,11,7.09677419354839
2002,1,27,"LUGO",30,72.83,2.41,70.42,0,0,0,30,2.41,70.42,110,66.11,3.33333333333333,0,26.6666666666667,0,26.6666666666667,16.6666666666667,3.33333333333333,0,0,0,1.66666666666667,6.66666666666667,0,14.2,34.95,101.633,97.857,96.84,95.56,26.65,3.7,13.19,19.9,14.63,9.2,14.5,9.8,9.68152866242037
2002,1,28,"MADRID",1,0.03,0,0.03,0,0,0,1,0,0.03,72.58,78.58,32.8666666666667,0,35.2333333333333,7.13333333333333,41.4,26.9333333333333,8.6,0.266666666666667,33.9,0,0,9.66666666666667,1,17.37,64.09,102.761,92.599,91.866,90.377,17.42,-2.38,5.51,9.52,5.63,1.68,7.08,8.18,7.49343492251359
2002,1,29,"MALAGA",1,3,0,3,0,0,0,1,0,3,115,73,0,0,20,0,13.9,10,2.23333333333333,0,0,0,0,14.4333333333333,0,12.3,19.65,102.68,103.46,102.6,101.72,21.47,7.75,14.87,17.55,14.32,11.05,14.63,12.17,14.8739343370216
2002,1,30,"MURCIA",0,0,0,0,0,0,0,0,0,0,96.5,73.33,11.1,0,28.9,0,21.1,8.33333333333333,0,0,0,0,0,1.66666666666667,0,2.92,7.58,102.763,103.003,102.19,100.933,20.45,1.92,11.65,15.77,10.75,5.72,11.05,6.67,12.1488507843853
2002,1,31,"NAVARRA",9,150.64,15,135.64,0,0,0,9,15,135.64,75,76,5,0,40,0,27.5,15,0.833333333333333,0,21.6666666666667,0,0,1.1,0,7.18,15.63,102.79,98.18,97.31,95.37,17.45,-2.23,4.08,11.03,6.9,2.8,7.38,8.33,6.03873908089632
2002,1,32,"OURENSE",51,295.73,15.24,280.49,0,0,0,51,15.24,280.49,88.67,79.67,40,3.33333333333333,46.6666666666667,0,50,35.5666666666667,15.5666666666667,2.23333333333333,18.9,0,6.66666666666667,4.43333333333333,0,27.17,120.6,101.84,97.415,96.57,94.725,18.43,-1.93,7.43,12.83,8.2,3.5,10.33,4.67,9.71599402092677
2002,1,33,"ASTURIAS",467,5491.22,1414.33,4076.89,0,0,0,467,1414.33,4076.89,85.25,73,2.23333333333333,0,37.7666666666667,0,36.6666666666667,28.1,2.86666666666667,0,7.23333333333333,0,0,22,1.33333333333333,12.63,41.36,102.327,101.333,100.42,98.217,17.97,2.52,8.97,13.27,9.73,6.2,10.95,10.67,9.13793103448276
2002,1,34,"PALENCIA",0,0,0,0,0,0,0,0,0,0,66.67,80,3.33333333333333,0,26.6666666666667,0,38.9,25.5666666666667,5.56666666666667,1.1,46.6666666666667,0,1.66666666666667,5.56666666666667,0,20.47,54.73,102.24,91.355,90.61,88.855,14.6,-4.2,2.43,8.1,4.33,0.53,5.07,6.33,8.2942097026604
2002,1,35,"LAS PALMAS",0,0,0,0,0,0,0,0,0,0,141,63.6,0,0,13.3333333333333,0,12.5,6.66666666666667,2.5,0,0,0,3.33333333333333,13.9,0,12.35,20.08,102.147,102.593,101.857,100.483,24.14,11.08,19.36,21.48,18.34,15.1,18.28,17,10.1145038167939
2002,1,36,"PONTEVEDRA",13,47.61,7.05,40.56,0,0,0,13,7.05,40.56,106,81.5,35,1.66666666666667,50,0,48.3333333333333,45,18.3333333333333,3.33333333333333,0,0,10,11.6666666666667,0,33.9,158.95,102.5,101.065,100.295,98.36,18.3,2.9,9.3,13.7,10.6,7.4,12.35,6.5,14.6868787276342
2002,1,37,"SALAMANCA",0,0,0,0,0,0,0,0,0,0,69.6,79.75,40,0,43.3333333333333,0,32.6666666666667,23.3333333333333,4,0.666666666666667,48.6666666666667,0,0,13.3333333333333,3.33333333333333,26.54,53.46,102.643,94.405,93.705,92.048,16,-5.72,6.1,10.14,5.28,0.34,6.8,9.6,13.5558583106267
