"anho","mes","idprovincia","nombre","numero_de_incendios","superficie_total_quemada","sup_total_arbolada","sup_total_desarbolada","naturales_casos","naturales_total_arbolada","naturales_total_noarboalda","antropicos_casos","sup_antropicos_total_arbolada","sup_antropicos_total_noarbolada","e","evap","glo","hr","inso","n_cub","n_des","n_fog","n_gra","n_llu","n_nie","n_nub","np_001","np_010","np_100","np_300","nt_00","nt_30","n_tor","nv_0050","nv_0100","nv_1000","nw_55","nw_91","p_max","p_mes","p_sol","q_mar","q_max","q_med","q_min","ta_max","ta_min","ti_max","tm_max","tm_mes","tm_min","ts_10","ts_20","ts_50","ts_min","w_med","w_rec","tasa_de_paro"
2000,1,1,"ALAVA",3,1.8,0,1.8,0,0,0,3,0,1.8,65,303,-9999,83,3.3,10,2,4,0,8,0,19,6,3,1,0,23,0,0,0,0,3,0,0,15.6,20.5,35,1027.9,974.3,965.6,949.5,16,-7,3.2,7.5,3.1,-1.4,-9999,-9999,-9999,2.6,6,173,NA
2000,1,2,"ALBACETE",0,0,0,0,0,0,0,0,0,0,59,458,25959,75,5.2,3,13,8.5,0,3,1,15,3.5,1,0,0,26.5,0,0,0,0,7,0,0,4.4,4.95,53,1026.75,952.7,943.95,928.8,19.9,-7.85,1.5,9.85,3.6,-2.65,-9999,-9999,-9999,1.6,6.5,180,NA
2000,1,3,"ALICANTE",1,0.04,0,0.04,0,0,0,1,0,0.04,87,504,-9999,73,6.5,3.5,12,0.5,0,6.5,0,15.5,6.33,5,1.67,0,0,0,0.5,0,0,0,0,0,15.67,35.53,66,1024.7,1025.55,1017.75,1002.55,21,1.3,10.3,15.05,9.55,4.1,-9999,-9999,-9999,8.3,6.67,99,NA
2000,1,4,"ALMERIA",1,2,0,2,0,0,0,1,0,2,94,1096,31538,67,6.8,1,6,0,0,6,0,24,6,4,0,0,0,0,2,0,0,0,1,0,6.5,19.4,68,1023.3,1030.4,1020.8,1005.8,20.6,5.8,11.6,16.1,12,7.8,-9999,-9999,-9999,10.8,15,332,NA
2000,1,5,"AVILA",0,0,0,0,0,0,0,0,0,0,52,231,-9999,77,5.5,4,12,5,0,0,7,15,7,5,0,0,30,0,0,1,1,2,0,0,4.5,11.9,57,1026.4,904.2,893.5,875.1,14.6,-9,0.2,6.2,1.2,-3.8,0.7,1,2.5,4.4,4,109,NA
2000,1,6,"BADAJOZ",0,0,0,0,0,0,0,0,0,0,81,222,-9999,81,5.6,4,14,21,0,7,0,13,4,2,0.33,0,15.67,0,0,0,0,15,0,0,5.9,8.93,57,1025.7,1012.5,1001.8,985,18.73,-3.57,6.63,12.97,6.63,0.27,6.5,6.2,7.1,4.6,6.33,139,NA
2000,1,7,"ILLES BALEARS",3,6.45,0.2,6.25,0,0,0,3,0.2,6.25,92.86,746.75,27241,79.14,6.3,3.75,3.75,3.25,0,10.25,0,23.5,9.88,6.25,1,0.38,3.44,0,1,0,0,1,0,0,19.31,48.59,64.33,1024.18,1029.1,1020.73,1009.5,18.28,1.49,8.78,13.28,9.04,4.76,-9999,-9999,-9999,9.19,8.43,241.67,NA
2000,1,8,"BARCELONA",16,5.91,4.43,1.48,0,0,0,16,4.43,1.48,73.33,885.5,24583,72.33,6.35,4.5,10.5,1,0,5,0.5,16,5.67,2.67,0.67,0,6,0,0.5,0,0,0.5,1.5,0,10.33,17.4,66,1022.67,1009.77,1000.5,989.63,17.78,-0.13,4.78,12.13,7.88,3.55,-9999,-9999,-9999,8.2,9.8,222,NA
2000,1,9,"BURGOS",8,14.65,2.1,12.55,0,0,0,8,2.1,12.55,54.5,286,-9999,80.5,4,12,3,7,0,2,9,16,6.5,3,0,0,28,0,0,0,1,4,1,0,3.75,8.65,42,1028.7,932.1,922.1,904.9,16.5,-8.25,0.25,5.8,1.6,-2.65,0.9,2.1,3.2,1.4,6.67,208,NA
2000,1,10,"CACERES",3,7.06,3.56,3.5,0,0,0,3,3.56,3.5,74,428,28275,80,6.6,3,20,4,0,4,0,8,4,1,0,0,16,0,0,1,0,0,0.67,0,4.6,5.8,68,1025.7,988.7,978,960.3,16.5,-3.73,4.33,10.4,5.13,-0.23,6.6,6.4,7.7,3.9,7.33,159.67,NA
2000,1,11,"CADIZ",0,0,0,0,0,0,0,0,0,0,99.67,521.67,31030,75,6.93,1.67,10.67,0.67,0,6,0,18.67,6,4.8,1.8,0,0.4,0,1.33,0,0,0.33,1.8,0,17.92,43.12,69.33,1023.93,1031.27,1021.47,1008.1,20.4,2.5,11.46,15.14,10.78,6.36,-9999,-9999,-9999,10.58,11.8,268,NA
2000,1,12,"CASTELLON",2,0.01,0.01,0,0,0,0,2,0.01,0,93,490,-9999,79,6.9,-9999,-9999,1,0,7,0,-9999,4,1.5,1,0.5,0,0,1,0,0,0,0,0,17.05,26.35,71,1024.1,1028.1,1018.7,1004.7,18.2,1.4,10.6,13.4,8.9,4.3,-9999,-9999,-9999,7.4,6.5,146,NA
2000,1,13,"CIUDAD REAL",0,0,0,0,0,0,0,0,0,0,64,188,24811,81,4.6,5,9,17,0,4,1,17,8,4,0,0,24,0,0,1,1,11,-9999,-9999,6.6,14.4,46,1026.8,960.7,950.7,934.3,16.2,-5.5,0.8,8.6,3.4,-1.8,3.8,4.1,5.6,2,3,-9999,NA
