"anho","mes","idprovincia","tasa_de_paro"
2000,1,1,NA
2000,1,2,NA
2000,1,3,NA
2000,1,4,NA
2000,1,5,NA
2000,1,6,NA
2000,1,7,NA
2000,1,8,NA
2000,1,9,NA
2000,1,10,NA
2000,1,11,NA
2000,1,12,NA
2000,1,13,NA
2000,1,14,NA
2000,1,15,NA
2000,1,16,NA
2000,1,17,NA
2000,1,18,NA
2000,1,19,NA
2000,1,20,NA
2000,1,21,NA
2000,1,22,NA
2000,1,23,NA
2000,1,24,NA
2000,1,25,NA
2000,1,26,NA
2000,1,27,NA
2000,1,28,NA
2000,1,29,NA
2000,1,30,NA
2000,1,31,NA
2000,1,32,NA
2000,1,33,NA
2000,1,34,NA
2000,1,35,NA
2000,1,36,NA
2000,1,37,NA
2000,1,38,NA
2000,1,39,NA
2000,1,40,NA
2000,1,41,NA
2000,1,42,NA
2000,1,43,NA
2000,1,44,NA
2000,1,45,NA
2000,1,46,NA
2000,1,47,NA
2000,1,48,NA
2000,1,49,NA
2000,1,50,NA
2000,2,1,NA
2000,2,2,NA
2000,2,3,NA
2000,2,4,NA
2000,2,5,NA
2000,2,6,NA
2000,2,7,NA
2000,2,8,NA
2000,2,9,NA
2000,2,10,NA
2000,2,11,NA
2000,2,12,NA
2000,2,13,NA
2000,2,14,NA
2000,2,15,NA
2000,2,16,NA
2000,2,17,NA
2000,2,18,NA
2000,2,19,NA
2000,2,20,NA
2000,2,21,NA
2000,2,22,NA
2000,2,23,NA
2000,2,24,NA
2000,2,25,NA
2000,2,26,NA
2000,2,27,NA
2000,2,28,NA
2000,2,29,NA
2000,2,30,NA
2000,2,31,NA
2000,2,32,NA
2000,2,33,NA
2000,2,34,NA
2000,2,35,NA
2000,2,36,NA
2000,2,37,NA
2000,2,38,NA
2000,2,39,NA
2000,2,40,NA
2000,2,41,NA
2000,2,42,NA
2000,2,43,NA
2000,2,44,NA
2000,2,45,NA
2000,2,46,NA
2000,2,47,NA
2000,2,48,NA
2000,2,49,NA
2000,2,50,NA
2000,3,1,NA
2000,3,2,NA
2000,3,3,NA
2000,3,4,NA
2000,3,5,NA
2000,3,6,NA
2000,3,7,NA
2000,3,8,NA
2000,3,9,NA
2000,3,10,NA
2000,3,11,NA
2000,3,12,NA
2000,3,13,NA
2000,3,14,NA
2000,3,15,NA
2000,3,16,NA
2000,3,17,NA
2000,3,18,NA
2000,3,19,NA
2000,3,20,NA
2000,3,21,NA
2000,3,22,NA
2000,3,23,NA
2000,3,24,NA
2000,3,25,NA
2000,3,26,NA
2000,3,27,NA
2000,3,28,NA
2000,3,29,NA
2000,3,30,NA
2000,3,31,NA
2000,3,32,NA
2000,3,33,NA
2000,3,34,NA
2000,3,35,NA
2000,3,36,NA
2000,3,37,NA
2000,3,38,NA
2000,3,39,NA
2000,3,40,NA
2000,3,41,NA
2000,3,42,NA
2000,3,43,NA
2000,3,44,NA
2000,3,45,NA
2000,3,46,NA
2000,3,47,NA
2000,3,48,NA
2000,3,49,NA
2000,3,50,NA
2000,4,1,NA
2000,4,2,NA
2000,4,3,NA
2000,4,4,NA
2000,4,5,NA
2000,4,6,NA
2000,4,7,NA
2000,4,8,NA
2000,4,9,NA
2000,4,10,NA
2000,4,11,NA
2000,4,12,NA
2000,4,13,NA
2000,4,14,NA
2000,4,15,NA
2000,4,16,NA
2000,4,17,NA
2000,4,18,NA
2000,4,19,NA
2000,4,20,NA
2000,4,21,NA
2000,4,22,NA
2000,4,23,NA
2000,4,24,NA
2000,4,25,NA
2000,4,26,NA
2000,4,27,NA
2000,4,28,NA
2000,4,29,NA
2000,4,30,NA
2000,4,31,NA
2000,4,32,NA
2000,4,33,NA
2000,4,34,NA
2000,4,35,NA
2000,4,36,NA
2000,4,37,NA
2000,4,38,NA
2000,4,39,NA
2000,4,40,NA
2000,4,41,NA
2000,4,42,NA
2000,4,43,NA
2000,4,44,NA
2000,4,45,NA
2000,4,46,NA
2000,4,47,NA
2000,4,48,NA
2000,4,49,NA
2000,4,50,NA
2000,5,1,NA
2000,5,2,NA
2000,5,3,NA
2000,5,4,NA
2000,5,5,NA
2000,5,6,NA
2000,5,7,NA
2000,5,8,NA
2000,5,9,NA
2000,5,10,NA
2000,5,11,NA
2000,5,12,NA
2000,5,13,NA
2000,5,14,NA
2000,5,15,NA
2000,5,16,NA
2000,5,17,NA
2000,5,18,NA
2000,5,19,NA
2000,5,20,NA
2000,5,21,NA
2000,5,22,NA
2000,5,23,NA
2000,5,24,NA
2000,5,25,NA
2000,5,26,NA
2000,5,27,NA
2000,5,28,NA
2000,5,29,NA
2000,5,30,NA
2000,5,31,NA
2000,5,32,NA
2000,5,33,NA
2000,5,34,NA
2000,5,35,NA
2000,5,36,NA
2000,5,37,NA
2000,5,38,NA
2000,5,39,NA
2000,5,40,NA
2000,5,41,NA
2000,5,42,NA
2000,5,43,NA
2000,5,44,NA
2000,5,45,NA
2000,5,46,NA
2000,5,47,NA
2000,5,48,NA
2000,5,49,NA
2000,5,50,NA
2000,6,1,NA
2000,6,2,NA
2000,6,3,NA
2000,6,4,NA
2000,6,5,NA
2000,6,6,NA
2000,6,7,NA
2000,6,8,NA
2000,6,9,NA
2000,6,10,NA
2000,6,11,NA
2000,6,12,NA
2000,6,13,NA
2000,6,14,NA
2000,6,15,NA
2000,6,16,NA
2000,6,17,NA
2000,6,18,NA
2000,6,19,NA
2000,6,20,NA
2000,6,21,NA
2000,6,22,NA
2000,6,23,NA
2000,6,24,NA
2000,6,25,NA
2000,6,26,NA
2000,6,27,NA
2000,6,28,NA
2000,6,29,NA
2000,6,30,NA
2000,6,31,NA
2000,6,32,NA
2000,6,33,NA
2000,6,34,NA
2000,6,35,NA
2000,6,36,NA
2000,6,37,NA
2000,6,38,NA
2000,6,39,NA
2000,6,40,NA
2000,6,41,NA
2000,6,42,NA
2000,6,43,NA
2000,6,44,NA
2000,6,45,NA
2000,6,46,NA
2000,6,47,NA
2000,6,48,NA
2000,6,49,NA
2000,6,50,NA
2000,7,1,NA
2000,7,2,NA
2000,7,3,NA
2000,7,4,NA
2000,7,5,NA
2000,7,6,NA
2000,7,7,NA
2000,7,8,NA
2000,7,9,NA
